Timestamp,Visit Date,Demographics,Tops,Collared Shirts,Sweaters,Pants,Skirts,Shorts,Dresses,Outerwear,Shoes,Accessories,Experience Rating,Did you bring donations with you today?
1/17/2025 12:07:12,1/17/2025,Undergraduate,1,,1,,,,1,,,1,5,No
1/17/2025 12:07:32,1/17/2025,Undergraduate,1,,,,,,1,,,1,5,No
1/17/2025 12:14:23,1/17/2025,Undergraduate,,,1,,1,,,,,,5,Yes
1/17/2025 12:18:13,1/17/2025,Undergraduate,,1,1,,,,,,,,5,No
1/17/2025 12:22:40,1/17/2025,Undergraduate,1,,,,,,1,,,1,5,No
1/17/2025 12:24:30,1/17/2025,Undergraduate,,,1,,,,,1,,,5,Yes
1/17/2025 12:26:17,1/17/2025,Graduate,4,2,2,2,,2,,2,3,1,5,Yes
1/17/2025 12:36:53,1/17/2025,Graduate,3,,,1,,,,,,,5,No
1/17/2025 12:52:48,1/17/2025,Undergraduate,1,,,,,,,,,2,5,No
1/17/2025 12:57:27,1/17/2025,Undergraduate,,2,1,,1,,1,,,2,5,Yes
1/17/2025 12:58:03,1/17/2025,Undergraduate,2,,,3,,,,,1,3,5,No
1/17/2025 13:06:39,1/17/2025,Undergraduate,,,1,,,,,,1,,5,Yes
1/17/2025 13:14:23,1/17/2025,Undergraduate,,,,1,1,,,,,1,5,No
1/17/2025 13:14:54,1/17/2025,Undergraduate,,,,,,,1,1,,2,5,No
1/17/2025 13:23:45,1/17/2025,Undergraduate,,,,1,,,,,,,5,No
1/17/2025 13:28:41,1/17/2025,Undergraduate,,,1,,,,,,,3,5,No
1/17/2025 13:29:36,1/17/2025,Undergraduate,1,,,,,,,,,,5,No
1/17/2025 13:45:17,1/17/2025,Undergraduate,2,1,,,1,,,,1,,5,No
1/17/2025 13:45:40,1/17/2025,Undergraduate,1,1,1,,,,,,2,,5,Donated at blue bin
1/17/2025 13:48:10,1/17/2025,Undergraduate,1,,1,,,,,,,,5,No
1/17/2025 13:49:15,1/17/2025,Undergraduate,,,,,,,,,1,1,5,No
1/17/2025 13:54:30,1/17/2025,Undergraduate,,,1,,,,,,,,5,No
1/17/2025 14:02:49,1/17/2025,Undergraduate,1,,1,,,,,,,1,4,No
1/17/2025 14:30:26,1/17/2025,Undergraduate,,,,,1,,,,,,5,Donated at blue bin
1/17/2025 14:31:14,1/17/2025,Undergraduate,,,3,,,,,1,,,4,Yes
1/17/2025 14:59:33,1/17/2025,Undergraduate,,,2,,,,,,,,5,Yes
1/17/2025 15:00:01,1/17/2025,Undergraduate,1,,,,,,,,,,5,Donated at blue bin
1/17/2025 15:00:55,1/17/2025,Undergraduate,1,,,,,,,,,,4,Yes
1/17/2025 15:01:19,1/17/2025,Undergraduate,3,,,,,,1,,,,5,Yes
1/17/2025 15:01:59,1/17/2025,Undergraduate,,,,,,,,1,,,5,Yes
1/17/2025 15:02:21,1/17/2025,Undergraduate,,,1,,,,,,,,5,No
1/17/2025 15:02:41,1/17/2025,Undergraduate,,,,1,,,,,,,5,No
